Index,Chase,Stalk,Predict,Wander,Ambush,Track
0,0.02642836,0,0.4841171,0.1631515,0,0.326303,0
1,0.02650905,0,0.4841149,0.1631253,0,0.3262507,0
2,0.02660445,0,0.4841123,0.1630944,0,0.3261888,0
3,0.02670746,0,0.4841094,0.163061,0,0.3261221,0
4,0.02676948,0,0.4841076,0.163041,0,0.3260819,0
5,0.02683031,0,0.4841059,0.1630213,0,0.3260426,0
6,0.02688279,0,0.4841043,0.1630043,0,0.3260086,0
7,0.0269269,0,0.4841031,0.16299,0,0.32598,0
8,0.02697553,0,0.4841016,0.1629743,0,0.3259486,0
9,0.02702677,0,0.4841001,0.1629577,0,0.3259155,0
10,0.0270848,0,0.4840983,0.162939,0,0.325878,0
11,0.02713938,0,0.4840966,0.1629213,0,0.3258427,0
12,0.02719846,0,0.4840948,0.1629023,0,0.3258045,0
13,0.02726104,0,0.4840928,0.162882,0,0.3257641,0
14,0.0273213,0,0.4840909,0.1628626,0,0.3257252,0
15,0.02738427,0,0.484089,0.1628423,0,0.3256845,0
16,0.02746789,0,0.4840862,0.1628153,0,0.3256306,0
17,0.02751113,0,0.4840848,0.1628013,0,0.3256027,0
18,0.02760448,0,0.4840817,0.1627713,0,0.3255425,0
19,0.02763653,0,0.4840807,0.1627609,0,0.3255219,0
20,0.02769222,0,0.4840788,0.162743,0,0.325486,0
21,0.02773966,0,0.4840772,0.1627277,0,0.3254554,0
22,0.02778136,0,0.4840758,0.1627143,0,0.3254286,0
23,0.02782135,0,0.4840744,0.1627014,0,0.3254029,0
24,0.02785782,0,0.4840732,0.1626897,0,0.3253793,0
25,0.02788821,0,0.4840721,0.1626799,0,0.3253598,0
26,0.0279133,0,0.4840712,0.1626718,0,0.3253437,0
27,0.02793529,0,0.4840705,0.1626648,0,0.3253295,0
28,0.0279535,0,0.4840698,0.1626589,0,0.3253178,0
29,0.02796726,0,0.4840693,0.1626545,0,0.3253089,0
30,0.02797192,0,0.4840692,0.162653,0,0.3253059,0
31,0.0279742,0,0.4840691,0.1626522,0,0.3253045,0
32,0.02797167,0,0.4840692,0.162653,0,0.3253061,0
33,0.02796444,0,0.4840694,0.1626554,0,0.3253108,0
34,0.02795207,0,0.4840699,0.1626593,0,0.3253187,0
35,0.02793508,0,0.4840705,0.1626648,0,0.3253296,0
36,0.02791297,0,0.4840712,0.1626719,0,0.3253439,0
37,0.02788602,0,0.4840722,0.1626806,0,0.3253612,0
38,0.02785488,0,0.4840733,0.1626906,0,0.3253812,0
39,0.02781752,0,0.4840745,0.1627026,0,0.3254053,0
40,0.02777468,0,0.484076,0.1627164,0,0.3254329,0
41,0.02772702,0,0.4840776,0.1627318,0,0.3254636,0
42,0.02767362,0,0.4840795,0.162749,0,0.325498,0
43,0.02761547,0,0.4840813,0.1627677,0,0.3255354,0
44,0.02755482,0,0.4840834,0.1627873,0,0.3255745,0
45,0.02748372,0,0.4840857,0.1628102,0,0.3256204,0
46,0.02741459,0,0.4840879,0.1628325,0,0.325665,0
47,0.0273362,0,0.4840905,0.1628578,0,0.3257155,0
48,0.02724915,0,0.4840932,0.1628859,0,0.3257717,0
49,0.02715819,0,0.4840961,0.1629153,0,0.3258305,0
50,0.02706019,0,0.484099,0.1629469,0,0.3258939,0
51,0.0269633,0,0.484102,0.1629782,0,0.3259565,0
52,0.02685551,0,0.4841051,0.1630131,0,0.3260262,0
53,0.02674605,0,0.4841083,0.1630486,0,0.3260971,0
54,0.02662602,0,0.4841117,0.1630874,0,0.3261749,0
55,0.02650552,0,0.484115,0.1631265,0,0.326253,0
56,0.0263702,0,0.4841187,0.1631704,0,0.3263407,0
57,0.02624448,0,0.484122,0.1632112,0,0.3264224,0
58,0.02609764,0,0.4841258,0.1632589,0,0.3265177,0
59,0.02595904,0,0.4841292,0.1633039,0,0.3266078,0
60,0.02580738,0,0.4841329,0.1633533,0,0.3267065,0
61,0.02564799,0,0.4841366,0.1634052,0,0.3268103,0
62,0.02548457,0,0.4841402,0.1634584,0,0.3269168,0
63,0.02531397,0,0.4841439,0.1635141,0,0.3270281,0
64,0.02514326,0,0.4841474,0.1635698,0,0.3271396,0
65,0.02496001,0,0.484151,0.1636297,0,0.3272594,0
66,0.02476875,0,0.4841545,0.1636923,0,0.3273845,0
67,0.02457157,0,0.4841579,0.1637568,0,0.3275137,0
68,0.02438918,0,0.4841609,0.1638166,0,0.3276333,0
69,0.02418396,0,0.4841641,0.163884,0,0.327768,0
70,0.02397219,0,0.4841671,0.1639536,0,0.3279071,0
71,0.0237619,0,0.4841698,0.1640228,0,0.3280455,0
72,0.02354192,0,0.4841725,0.1640952,0,0.3281904,0
73,0.02331661,0,0.4841749,0.1641695,0,0.328339,0
74,0.0230855,0,0.484177,0.1642458,0,0.3284917,0
75,0.02284147,0,0.484179,0.1643265,0,0.328653,0
76,0.02258753,0,0.4841807,0.1644106,0,0.3288212,0
77,0.02233141,0,0.484182,0.1644955,0,0.3289911,0
78,0.02207955,0,0.484183,0.1645792,0,0.3291583,0
79,0.02181892,0,0.4841836,0.1646658,0,0.3293317,0
80,0.02155153,0,0.4841839,0.1647549,0,0.3295098,0
81,0.02124876,0,0.4841836,0.1648559,0,0.3297117,0
82,0.02096868,0,0.484183,0.1649494,0,0.3298989,0
83,0.0206867,0,0.4841818,0.1650438,0,0.3300877,0
84,0.02038347,0,0.4841801,0.1651455,0,0.3302909,0
85,0.02005228,0,0.4841777,0.1652567,0,0.3305134,0
86,0.01976975,0,0.484175,0.1653517,0,0.3307035,0
87,0.01945068,0,0.4841716,0.1654593,0,0.3309185,0
88,0.01914521,0,0.4841677,0.1655624,0,0.3311248,0
89,0.01879184,0,0.4841624,0.1656819,0,0.3313639,0
90,0.01844887,0,0.4841567,0.1657982,0,0.3315963,0
